iter	Passed	Remaining
730	4352	1601
731	4360	1596
732	4366	1590
733	4372	1584
734	4376	1578
735	4381	1571
736	4386	1565
737	4391	1558
738	4395	1552
739	4400	1546
740	4405	1539
741	4409	1533
742	4417	1527
743	4426	1523
744	4434	1518
745	4439	1511
746	4444	1505
747	4448	1498
748	4453	1492
749	4459	1486
750	4463	1480
751	4468	1473
752	4473	1467
753	4477	1460
754	4482	1454
755	4486	1448
756	4490	1441
757	4494	1435
758	4498	1428
759	4503	1422
760	4508	1415
761	4515	1410
762	4525	1405
763	4529	1399
764	4534	1393
765	4541	1387
766	4545	1380
767	4550	1374
768	4556	1368
769	4560	1362
770	4564	1355
771	4569	1349
772	4573	1343
773	4577	1336
774	4582	1330
775	4586	1324
776	4591	1317
777	4595	1311
778	4600	1305
779	4605	1299
780	4610	1292
781	4615	1286
782	4626	1282
783	4634	1276
784	4639	1270
785	4643	1264
786	4648	1258
787	4654	1252
788	4659	1246
789	4664	1239
790	4668	1233
791	4673	1227
792	4677	1220
793	4682	1214
794	4687	1208
795	4691	1202
796	4696	1196
797	4701	1189
798	4706	1183
799	4711	1177
800	4716	1171
801	4721	1165
802	4727	1159
803	4733	1154
804	4738	1147
805	4743	1141
806	4749	1135
807	4757	1130
808	4763	1124
809	4768	1118
810	4773	1112
811	4778	1106
812	4783	1100
813	4788	1094
814	4794	1088
815	4798	1082
816	4804	1076
817	4811	1070
818	4816	1064
819	4821	1058
820	4826	1052
821	4831	1046
822	4836	1040
823	4841	1034
824	4846	1028
825	4851	1022
826	4855	1015
827	4861	1009
828	4865	1003
829	4869	997
830	4874	991
831	4879	985
832	4883	979
833	4888	973
834	4892	966
835	4898	960
836	4903	954
837	4907	948
838	4913	942
839	4917	936
840	4923	930
841	4929	924
842	4934	918
843	4941	913
844	4948	907
845	4956	902
846	4960	896
847	4965	890
848	4969	883
849	4974	877
850	4979	871
851	4984	865
852	4989	859
853	4993	853
854	4999	847
855	5005	842
856	5011	836
857	5016	830
858	5021	824
859	5027	818
860	5032	812
861	5037	806
862	5042	800
863	5047	794
864	5051	788
865	5057	782
866	5061	776
867	5066	770
868	5071	764
869	5075	758
870	5080	752
871	5085	746
872	5090	740
873	5094	734
874	5100	728
875	5104	722
876	5109	716
877	5114	710
878	5118	704
879	5123	698
880	5128	692
881	5134	686
882	5142	681
883	5147	675
884	5153	669
885	5158	663
886	5163	657
887	5169	652
888	5174	646
889	5178	640
890	5183	634
891	5188	628
892	5193	622
893	5199	616
894	5205	610
895	5210	604
896	5215	598
897	5220	593
898	5225	587
899	5230	581
900	5237	575
901	5242	569
902	5247	563
903	5253	557
904	5259	552
905	5265	546
906	5270	540
907	5275	534
908	5280	528
909	5286	522
910	5291	516
911	5296	511
912	5301	505
913	5308	499
914	5313	493
915	5320	487
916	5325	482
917	5330	476
918	5336	470
919	5342	464
920	5349	458
921	5355	453
922	5360	447
923	5365	441
924	5370	435
925	5376	429
926	5382	423
927	5388	418
928	5393	412
929	5398	406
930	5403	400
931	5408	394
932	5413	388
933	5418	382
934	5423	377
935	5428	371
936	5433	365
937	5438	359
938	5444	353
939	5449	347
940	5456	342
941	5460	336
942	5465	330
943	5470	324
944	5474	318
945	5479	312
946	5484	306
947	5489	301
948	5494	295
949	5498	289
950	5505	283
951	5511	277
952	5516	272
953	5521	266
954	5526	260
955	5530	254
956	5538	248
957	5542	243
958	5547	237
959	5552	231
960	5558	225
961	5563	219
962	5568	213
963	5573	208
964	5577	202
965	5582	196
966	5586	190
967	5591	184
968	5596	179
969	5602	173
970	5607	167
971	5612	161
972	5616	155
973	5621	150
974	5626	144
975	5632	138
976	5638	132
977	5643	126
978	5648	121
979	5653	115
980	5657	109
981	5662	103
982	5667	98
983	5672	92
984	5676	86
985	5682	80
986	5687	74
987	5693	69
988	5698	63
989	5702	57
990	5707	51
991	5712	46
992	5717	40
993	5721	34
994	5726	28
995	5731	23
996	5738	17
997	5743	11
998	5747	5
999	5753	0
